19,38.3,38.7,1,1,1
19,38.7,43.4,0.75,0.75,0.75
19,43.4,45.2,1,1,1
19,45.2,48,0.75,0.75,0.75
19,48,51.4,1,1,1
19,51.4,53.6,0.75,0.75,0.75
19,53.6,56.3,1,1,1
19,56.3,59.1,0.75,0.75,0.75
2,0,4.4,1,1,1
2,4.4,7.1,0.5,0.5,0.5
2,7.1,12.2,1,1,1
2,12.2,16.7,0.25,0.25,0.25
2,16.7,19.2,1,1,1
2,19.2,24,0.25,0.25,0.25
2,24,27.9,1,1,1
2,27.9,30,0.75,0.75,0.75
2,30,32.1,1,1,1
2,32.1,36.6,0.25,0.25,0.25
2,36.6,38.6,1,1,1
2,38.6,41.8,0.5,0.5,0.5
2,41.8,47.8,1,1,1
2,47.8,52.9,0,0,0
2,52.9,55,1,1,1
2,55,61.3,0,0,0
2,61.3,64.1,1,1,1
2,64.1,68.6,0.5,0.5,0.5
2,68.6,71.5,1,1,1
2,71.5,73.5,0.5,0.5,0.5
2,73.5,75,1,1,1
2,75,83.3,0,0,0
2,83.3,90.5,1,1,1
2,90.5,93.3,0.55,0,0
2,93.3,96.8,0.55,0,0
2,96.8,102.7,1,1,1
2,102.7,106,0.5,0.5,0.5
2,106,107.5,1,1,1
2,107.5,110.2,0.75,0.75,0.75
2,110.2,114.4,1,1,1
2,114.4,118.8,0.5,0.5,0.5
2,118.8,122.4,1,1,1
2,122.4,129.9,0.5,0.5,0.5
2,129.9,132.5,1,1,1
2,132.5,135.1,0.75,0.75,0.75
2,135.1,136.8,1,1,1
2,136.8,142.2,0,0,0
2,142.2,144.1,1,1,1
2,144.1,148.7,0,0,0
2,148.7,149.9,1,1,1
2,149.9,150.5,0.75,0.75,0.75
2,150.5,154.9,1,1,1
2,154.9,159.8,0.25,0.25,0.25
2,159.8,163.7,1,1,1
2,163.7,169.7,0.25,0.25,0.25
2,169.7,178,1,1,1
2,178,180.6,0.5,0.5,0.5
2,180.6,183,1,1,1
2,183,189.4,0.25,0.25,0.25
2,189.4,191.9,1,1,1
2,191.9,197.4,0.25,0.25,0.25
2,197.4,203.3,1,1,1
2,203.3,204.9,0.5,0.5,0.5
2,204.9,209,1,1,1
2,209,215.3,0,0,0
2,215.3,221.5,1,1,1
2,221.5,225.2,0.25,0.25,0.25
2,225.2,226.1,1,1,1
2,226.1,231,0,0,0
2,231,235.6,1,1,1
2,235.6,237.3,0.5,0.5,0.5
2,237.3,243.1,1,1,1
20,0,5.1,1,1,1
20,5.1,9.2,0.25,0.25,0.25
20,9.2,12.1,1,1,1
20,12.1,17.9,0.25,0.25,0.25
20,17.9,21.3,1,1,1
20,21.3,22.3,0.75,0.75,0.75
20,22.3,25.6,1,1,1
20,25.6,27.5,0.55,0,0
20,27.5,29.4,0.55,0,0
20,29.4,32.1,1,1,1
20,32.1,34.4,0.75,0.75,0.75
20,34.4,37.6,1,1,1
20,37.6,41.7,0.25,0.25,0.25
20,41.7,42.1,1,1,1
20,42.1,46.4,0.75,0.75,0.75
20,46.4,49.8,1,1,1
20,49.8,55,0.25,0.25,0.25
20,55,56.5,1,1,1
20,56.5,58.4,0.5,0.5,0.5
20,58.4,63,1,1,1
21,0,2.8,0,0,0
21,2.8,6.8,0.75,0.75,0.75
21,6.8,10.9,0,0,0
21,10.9,13.2,0.55,0,0
21,13.2,14.3,0.55,0,0
21,14.3,16.4,1,1,1
21,16.4,24,0,0,0
21,24,26.8,1,1,1
21,26.8,31.5,0.25,0.25,0.25
21,31.5,35.8,1,1,1
21,35.8,37.8,0.5,0.5,0.5
21,37.8,39.7,1,1,1
21,39.7,42.6,0.5,0.5,0.5
21,42.6,48.1,1,1,1
22,0,3.8,0,0,0
22,3.8,8.3,0.75,0.75,0.75
22,8.3,12.2,0,0,0
22,12.2,14.7,0.55,0,0
22,14.7,17.9,0.55,0,0
22,17.9,22.2,1,1,1
22,22.2,23.5,0.75,0.75,0.75
22,23.5,25.9,1,1,1
22,25.9,29.6,0.5,0.5,0.5
22,29.6,32.2,1,1,1
22,32.2,37.6,0.5,0.5,0.5
22,37.6,41,1,1,1
22,41,44.2,0.5,0.5,0.5
22,44.2,48.4,1,1,1
22,48.4,49.4,0.5,0.5,0.5
22,49.4,51.3,1,1,1
3,0,2.8,0.5,0.5,0.5
3,2.8,4,1,1,1
3,4,8.7,0.5,0.5,0.5
3,8.7,11.8,1,1,1
3,11.8,13.3,0.75,0.75,0.75
3,13.3,16.4,1,1,1
3,16.4,23.9,0,0,0
3,23.9,26.4,1,1,1
3,26.4,30.9,0.25,0.25,0.25
3,30.9,32.1,1,1,1
3,32.1,36.5,0.5,0.5,0.5
3,36.5,39.4,1,1,1
3,39.4,43.7,0.25,0.25,0.25
3,43.7,44.1,1,1,1
3,44.1,44.2,0.5,0.5,0.5
3,44.2,50.6,1,1,1
3,50.6,52.3,0.75,0.75,0.75
3,52.3,54.4,1,1,1
3,54.4,58.6,0.5,0.5,0.5
3,58.6,63.7,1,1,1
3,63.7,69.8,0.5,0.5,0.5
3,69.8,74.2,1,1,1
3,74.2,79.8,0.25,0.25,0.25
3,79.8,83.5,1,1,1
3,83.5,87.2,0.25,0.25,0.25
3,87.2,87.9,1,1,1
3,87.9,91,0.55,0,0
3,91,93.9,0.55,0,0
3,93.9,98.3,0,0,0
3,98.3,100,1,1,1
3,100,100.9,0.75,0.75,0.75
3,100.9,102.8,1,1,1
3,102.8,106.2,0.25,0.25,0.25
3,106.2,107.9,1,1,1
3,107.9,111.3,0.5,0.5,0.5
3,111.3,113.5,1,1,1
3,113.5,117.3,0.25,0.25,0.25
3,117.3,119,1,1,1
3,119,121.9,0.25,0.25,0.25
3,121.9,123.8,1,1,1
3,123.8,125.8,0.75,0.75,0.75
3,125.8,129.2,1,1,1
3,129.2,133.7,0.75,0.75,0.75
3,133.7,135.7,1,1,1
3,135.7,138.7,0.75,0.75,0.75
3,138.7,142.8,1,1,1
3,142.8,148.9,0,0,0
3,148.9,152.1,1,1,1
3,152.1,155,0.5,0.5,0.5
3,155,157,1,1,1
3,157,159,0.5,0.5,0.5
3,159,160.7,1,1,1
3,160.7,167.6,0,0,0
3,167.6,170.9,1,1,1
3,170.9,175.7,0.25,0.25,0.25
3,175.7,179,1,1,1
3,179,182.7,0.25,0.25,0.25
3,182.7,184.5,1,1,1
3,184.5,186,0.75,0.75,0.75
3,186,187.9,1,1,1
3,187.9,192.3,0.25,0.25,0.25
3,192.3,198,1,1,1
4,0,4.5,1,1,1
4,4.5,6,0.75,0.75,0.75
4,6,11.3,1,1,1
4,11.3,15.2,0.5,0.5,0.5
4,15.2,17.8,1,1,1
4,17.8,21.3,0.25,0.25,0.25
4,21.3,27.7,1,1,1
4,27.7,35.8,0,0,0
4,35.8,41.2,1,1,1
4,41.2,44.6,0.5,0.5,0.5
4,44.6,48.2,1,1,1
4,48.2,50.4,0.55,0,0
4,50.4,52.7,0.55,0,0
4,52.7,59.5,1,1,1
4,59.5,66.6,0,0,0
4,66.6,70.5,1,1,1
4,70.5,76.3,0.25,0.25,0.25
4,76.3,78.9,1,1,1
4,78.9,82.4,0.5,0.5,0.5
4,82.4,84.1,1,1,1
4,84.1,86.9,0.75,0.75,0.75
4,86.9,88,1,1,1
4,88,93.7,0.25,0.25,0.25
4,93.7,95.1,1,1,1
4,95.1,98.8,0.25,0.25,0.25
4,98.8,101.1,1,1,1
4,101.1,107.7,0.5,0.5,0.5
4,107.7,114.1,1,1,1
4,114.1,120.8,0.25,0.25,0.25
4,120.8,123.8,1,1,1
4,123.8,128.8,0.5,0.5,0.5
4,128.8,131.1,1,1,1
4,131.1,139.5,0,0,0
4,139.5,141.5,1,1,1
4,141.5,146.8,0.75,0.75,0.75
4,146.8,148.5,1,1,1
4,148.5,151.1,0.75,0.75,0.75
4,151.1,155.6,1,1,1
4,155.6,161.8,0,0,0
4,161.8,164.5,1,1,1
4,164.5,170.1,0,0,0
4,170.1,171.9,1,1,1
4,171.9,176.3,0.25,0.25,0.25
4,176.3,177.5,1,1,1
4,177.5,183.2,0,0,0
4,183.2,187.1,1,1,1
4,187.1,191.1,0.75,0.75,0.75
5,0,4.5,1,1,1
5,4.5,6.3,0.75,0.75,0.75
5,6.3,9.8,1,1,1
5,9.8,15,0.5,0.5,0.5
5,15,18.4,1,1,1
5,18.4,23.3,0,0,0
5,23.3,24.6,1,1,1
5,24.6,28.9,0,0,0
5,28.9,33.8,1,1,1
5,33.8,38.4,0.75,0.75,0.75
5,38.4,42.5,1,1,1
5,42.5,46.1,0.5,0.5,0.5
5,46.1,48.4,0.55,0,0
5,48.4,50.7,0.55,0,0
5,50.7,58.9,1,1,1
5,58.9,62.9,0.25,0.25,0.25
5,62.9,63.2,1,1,1
5,63.2,66.7,0.25,0.25,0.25
5,66.7,68.4,1,1,1
5,68.4,73.3,0.5,0.5,0.5
5,73.3,76.9,1,1,1
5,76.9,81.4,0.5,0.5,0.5
5,81.4,82.8,1,1,1
5,82.8,92.3,0,0,0
5,92.3,98.2,1,1,1
5,98.2,102.8,0,0,0
5,102.8,104.5,1,1,1
5,104.5,109.6,0,0,0
5,109.6,111.5,1,1,1
5,111.5,113.1,0.5,0.5,0.5
5,113.1,115.2,1,1,1
5,115.2,121.4,0,0,0
5,121.4,127.3,1,1,1
5,127.3,130.6,0,0,0
5,130.6,136.2,1,1,1
5,136.2,139.5,0.75,0.75,0.75
5,139.5,144.5,1,1,1
5,144.5,149.8,0.25,0.25,0.25
5,149.8,152.7,1,1,1
5,152.7,155.7,0.5,0.5,0.5
5,155.7,159.9,1,1,1
5,159.9,168.5,0,0,0
5,168.5,172.8,1,1,1
5,172.8,176.6,0.75,0.75,0.75
5,176.6,180.9,1,1,1
6,0,2.3,1,1,1
6,2.3,4.2,0.75,0.75,0.75
6,4.2,7.1,1,1,1
6,7.1,10.6,0.5,0.5,0.5
6,10.6,11.6,1,1,1
6,11.6,13.4,0.75,0.75,0.75
6,13.4,15.2,1,1,1
6,15.2,25.2,0.25,0.25,0.25
6,25.2,27,1,1,1
6,27,30.4,0.5,0.5,0.5
6,30.4,32.1,1,1,1
6,32.1,33.5,0.75,0.75,0.75
6,33.5,36.6,1,1,1
6,36.6,40.5,0.75,0.75,0.75
6,40.5,46.2,1,1,1
6,46.2,51.8,0,0,0
6,51.8,52.9,1,1,1
6,52.9,57,0,0,0
6,57,58.7,1,1,1
6,58.7,61,0.55,0,0
6,61,63.3,0.55,0,0
6,63.3,63.4,1,1,1
6,63.4,70,0,0,0
6,70,75.9,1,1,1
6,75.9,83.9,0.5,0.5,0.5
